r,v,p
75.81,71.12,66.72
0.95,2.54,6.79
1.08,26.18,631.87
3.54,408.97,47281.34
321.85,188.78,110.72
28.12,5.37,1.03
6.59,438.47,29185.53
573.84,80.19,11.2
2.46,4.6,8.63
4.3,2.39,1.33
313.91,9.63,0.3
0.63,13.47,289.78
3.11,17.4,97.45
37.74,2.58,0.18
988.51,1.58,0.0
4.54,10.04,22.21
2.93,14.3,69.85
1624.34,115.14,8.16
38.75,220.92,1259.37
0.84,5.94,42.03
4.95,107.74,2343.52
41.81,45.19,48.85
0.91,2.53,7.04
156.16,4.25,0.12
38.11,3.84,0.39
180.07,109.04,66.03
8.51,295.38,10252.49
16.28,1.71,0.18
1101.96,14.26,0.18
2.87,7.63,20.3
0.69,28.02,1131.8
1725.67,1.89,0.0
0.53,225.73,95825.94
791.57,93.61,11.07
472.25,165.01,57.66
28.54,107.89,407.87
173.64,10.3,0.61
1.2,274.58,63076.77
281.67,122.28,53.08
332.75,1.65,0.01
0.77,128.68,21632.59
30.91,1.96,0.12
1300.94,93.15,6.67
1333.65,3.6,0.01
1758.94,6.12,0.02
115.96,1.69,0.02
1.61,47.82,1418.71
15.35,6.75,2.96
207.7,82.81,33.02
5.26,17.26,56.62
414.15,442.24,472.23
633.35,21.36,0.72
281.4,4.59,0.07
8.54,75.77,672.62
234.31,16.09,1.11
0.91,3.09,10.48
8.06,45.85,260.8
286.23,10.27,0.37
364.72,51.3,7.22
7.03,74.88,797.04
1439.05,38.97,1.06
4.82,8.27,14.19
119.22,35.74,10.71
732.91,88.62,10.72
48.43,217.46,976.42
15.3,1.62,0.17
2.89,48.72,822.03
2.55,34.54,467.91
1.87,57.88,1793.06
19.71,245.41,3055.01
47.06,276.47,1624.4
526.34,2.24,0.01
3.03,11.31,42.19
262.59,419.26,669.42
158.2,407.71,1050.76
96.5,101.53,106.81
8.34,26.46,83.9
6.99,50.01,357.85
270.84,198.81,145.94
4.87,277.91,15847.12
7.7,107.57,1502.37
1498.47,1.58,0.0
1974.69,21.62,0.24
0.51,278.43,152859.05
148.85,7.53,0.38
42.45,18.93,8.44
22.73,112.15,553.48
4.92,21.72,95.91
33.56,20.59,12.63
22.06,165.52,1241.98
13.95,4.99,1.79
575.52,24.63,1.05
4.72,354.76,26670.45
70.98,4.55,0.29
648.52,5.61,0.05
1680.32,7.85,0.04
74.15,67.64,61.71
37.34,145.67,568.28
532.79,173.63,56.59
2.39,33.21,462.13
92.97,20.37,4.46
0.85,3.49,14.3
119.23,114.59,110.13
367.72,479.18,624.43
0.84,299.99,106726.92
568.89,3.39,0.02
1.39,2.77,5.53
2.15,2.22,2.29
514.93,2.59,0.01
1.41,199.81,28384.34
133.73,279.29,583.27
5.77,3.43,2.04
3.92,1.51,0.58
109.87,249.88,568.32
1.21,25.47,535.3
58.72,4.11,0.29
1069.44,1.77,0.0
583.17,1.6,0.0
581.75,2.56,0.01
6.17,169.14,4638.44
167.89,10.58,0.67
322.82,126.89,49.87
882.84,22.83,0.59
4.47,6.81,10.37
275.19,4.82,0.08
3.43,11.24,36.8
0.63,2.89,13.27
27.2,74.42,203.64
286.92,72.22,18.18
2.96,5.94,11.93
0.75,115.34,17779.65
11.1,28.19,71.6
2.69,35.08,457.47
11.89,156.36,2055.82
1037.2,3.03,0.01
239.08,4.04,0.07
11.02,4.41,1.76
7.41,93.4,1177.2
1040.32,56.24,3.04
795.5,380.33,181.83
74.98,2.94,0.12
9.71,3.94,1.6
357.28,2.2,0.01
122.96,3.62,0.11
54.07,12.71,2.99
228.71,1.7,0.01
1.53,28.13,518.64
1120.52,24.34,0.53
1597.68,1.72,0.0
9.46,66.83,472.26
1286.47,1.56,0.0
367.79,63.17,10.85
1226.35,15.55,0.2
1008.58,43.4,1.87
2.65,121.25,5555.54
4.32,17.0,66.86
4.34,51.19,603.62
1.09,6.13,34.38
13.54,4.96,1.82
10.12,1.94,0.37
8.67,377.85,16470.38
9.03,119.0,1567.48
0.84,1.84,4.03
2.34,186.82,14928.03
5.82,13.26,30.22
796.38,31.25,1.23
1087.39,38.99,1.4
5.32,18.89,67.0
158.26,190.39,229.05
579.38,69.58,8.36
33.28,351.23,3706.25
263.32,10.96,0.46
1637.2,7.52,0.03
1.92,3.12,5.08
0.9,339.06,128208.92
101.01,121.62,146.44
33.93,17.77,9.31
5.85,3.63,2.26
1001.32,75.86,5.75
556.79,147.32,38.98
4.48,53.92,648.8
307.37,41.79,5.68
481.87,152.19,48.06
7.43,23.12,71.98
1.14,1.68,2.47
578.4,4.91,0.04
1.12,2.4,5.18
26.48,10.75,4.36
2.51,2.12,1.79
1095.83,18.21,0.3
1.22,321.03,84776.47
1.32,143.69,15659.95
168.52,49.63,14.61
2.75,42.23,648.31
1.5,257.31,44172.89
2.02,442.1,96880.92
70.05,22.02,6.92
3.17,143.46,6494.98
11.42,4.55,1.81
575.13,174.18,52.75
2.15,2.79,3.63
473.45,60.19,7.65
310.46,5.49,0.1
493.08,352.8,252.44
8.89,9.01,9.14
25.14,8.5,2.87
176.05,114.73,74.77
0.68,31.71,1473.98
122.99,119.95,116.99
1.35,294.2,63933.97
5.45,4.94,4.47
412.92,47.49,5.46
97.2,8.58,0.76
86.88,428.87,2116.93
3.28,61.11,1137.33
127.26,2.96,0.07
1.49,22.13,328.55
1493.54,44.52,1.33
4.07,94.35,2189.27
475.3,131.79,36.54
1031.36,180.68,31.65
2.08,4.42,9.4
0.54,9.04,150.67
705.07,271.5,104.55
282.42,11.67,0.48
1.8,117.69,7705.35
489.82,8.43,0.15
415.27,73.34,12.95
22.94,69.76,212.19
1286.72,2.64,0.01
62.48,223.6,800.15
19.69,92.14,431.19
0.56,1.93,6.64
1351.86,201.31,29.98
1.45,76.0,3983.33
5.83,446.74,34218.42
212.05,3.79,0.07
0.52,14.4,396.54
45.02,316.55,2225.79
1.87,248.1,32952.01
0.6,2.78,12.87
102.4,7.87,0.61
74.29,156.89,331.33
220.77,55.98,14.2
84.3,122.02,176.6
19.54,249.81,3192.9
26.48,3.28,0.41
3.1,320.64,33125.62
1.0,4.91,24.07
630.68,110.85,19.48
154.57,13.05,1.1
1.39,180.28,23450.87
4.47,76.24,1299.06
643.24,31.75,1.57
1433.31,275.04,52.78
353.76,373.93,395.25
56.49,7.83,1.09
675.6,11.25,0.19
90.53,66.44,48.76
165.31,3.41,0.07
476.09,433.43,394.58
9.42,17.41,32.19
334.91,176.4,92.91
2.78,14.25,72.97
2.5,274.24,30031.46
418.27,171.37,70.21
53.68,481.97,4327.49
15.48,13.48,11.73
38.41,8.97,2.1
1665.32,3.43,0.01
831.44,117.12,16.5
33.67,3.68,0.4
46.77,86.47,159.87
81.56,51.74,32.83
352.84,452.67,580.75
702.2,45.72,2.98
1.69,16.54,162.23
91.57,32.47,11.51
3.29,1.8,0.99
86.83,5.49,0.35
2.07,7.68,28.47
406.73,341.96,287.49
120.14,48.94,19.93
658.17,5.28,0.04
1261.51,4.08,0.01
1156.2,55.62,2.68
1.67,1.81,1.97
11.38,166.15,2425.05
27.49,97.12,343.19
347.38,158.35,72.18
0.57,2.68,12.69
1077.66,11.25,0.12
14.65,4.78,1.56
93.81,252.01,676.97
1702.94,34.5,0.7
755.71,3.68,0.02
10.08,195.2,3779.23
27.81,211.74,1612.08
296.73,6.35,0.14
238.4,12.29,0.63
172.86,12.51,0.91
0.55,143.14,37498.16
2.61,6.93,18.45
3.14,69.12,1519.8
4.0,30.08,226.35
1.11,23.51,497.69
402.17,9.13,0.21
8.48,3.64,1.56
310.95,15.71,0.79
1133.39,7.78,0.05
6.71,105.56,1661.49
21.55,5.1,1.2
1.03,6.68,43.21
5.77,66.69,771.18
46.41,24.91,13.37
2.23,2.95,3.9
42.98,122.62,349.83
6.7,15.93,37.9
1841.55,8.66,0.04
11.28,13.89,17.12
0.69,4.21,25.66
25.27,2.89,0.33
7.98,61.41,472.45
10.76,162.54,2455.3
10.81,25.59,60.58
746.44,20.47,0.56
31.17,111.31,397.47
4.07,3.06,2.3
357.78,111.57,34.79
19.78,1.65,0.14
1.67,131.17,10306.86
1975.24,310.77,48.9
0.63,28.52,1296.67
179.34,37.36,7.78
564.83,88.1,13.74
9.41,9.52,9.64
1.84,21.6,253.08
18.68,35.01,65.59
27.35,25.82,24.38
1995.09,8.95,0.04
0.59,16.64,471.28
115.21,56.81,28.01
395.04,4.84,0.06
84.08,11.0,1.44
92.9,4.71,0.24
711.04,9.28,0.12
54.29,2.95,0.16
749.02,3.05,0.01
2.86,1.72,1.03
36.15,115.25,367.49
0.66,40.61,2495.93
391.89,6.63,0.11
315.35,19.21,1.17
43.71,170.58,665.66
13.33,9.78,7.18
10.77,484.28,21779.65
2.65,15.32,88.54
17.39,10.38,6.2
6.22,171.55,4732.99
60.23,18.62,5.76
340.35,2.03,0.01
158.23,252.9,404.22
35.5,9.05,2.31
1305.86,4.95,0.02
2.57,40.26,630.83
100.97,260.99,674.62
1.04,1.77,3.01
132.8,7.9,0.47
204.96,1.81,0.02
329.61,34.43,3.6
122.99,7.38,0.44
1.38,480.51,167011.5
0.72,12.24,207.6
186.97,41.42,9.18
375.19,183.0,89.26
0.66,286.9,125577.14
1.73,187.76,20331.04
351.26,66.33,12.52
1531.6,52.31,1.79
37.5,13.72,5.02
1.78,6.49,23.63
7.18,447.85,27931.09
326.36,2.99,0.03
45.26,223.59,1104.58
0.81,2.75,9.36
6.46,209.87,6823.13
257.38,2.72,0.03
7.46,6.93,6.45
18.04,459.71,11714.57
909.94,76.04,6.36
1760.81,3.19,0.01
266.97,3.28,0.04
3.66,3.18,2.76
3.76,22.06,129.6
6.24,6.45,6.67
1.89,3.85,7.81
2.2,5.9,15.79
4.18,14.53,50.5
119.1,8.34,0.58
80.38,78.03,75.76
8.45,11.47,15.56
2.55,343.41,46158.43
88.46,86.08,83.78
1.48,64.05,2771.54
1.68,29.68,523.84
12.02,242.84,4906.22
55.29,11.72,2.48
210.04,2.0,0.02
149.11,23.69,3.76
11.54,40.66,143.28
114.04,3.44,0.1
2.89,58.69,1193.5
30.02,225.69,1696.56
82.27,4.26,0.22
240.08,5.75,0.14
0.97,156.79,25408.97
1.16,1.97,3.37
0.92,162.33,28562.12
46.49,29.46,18.67
56.54,189.21,633.23
0.55,158.8,46028.96
116.0,4.35,0.16
280.87,233.11,193.48
1.32,2.36,4.24
8.2,2.05,0.51
576.26,118.74,24.47
149.38,471.93,1490.89
6.26,14.14,31.95
235.82,10.45,0.46
785.16,22.72,0.66
6.5,117.08,2107.83
145.81,13.89,1.32
1.09,12.42,142.13
0.81,115.18,16308.89
64.67,26.9,11.19
29.7,27.29,25.08
413.96,3.1,0.02
323.29,5.12,0.08
5.39,96.69,1734.36
35.01,472.71,6382.8
263.83,170.91,110.72
4.73,345.89,25288.48
10.06,62.65,389.96
0.82,187.74,42905.91
1.48,326.0,72018.94
78.89,2.81,0.1
30.78,6.14,1.23
2.02,5.39,14.33
0.53,419.91,331987.23
2.03,106.05,5535.81
250.74,57.98,13.41
1.09,427.2,167820.1
14.08,56.13,223.77
3.62,20.08,111.24
47.64,86.12,155.7
34.8,14.04,5.66
1736.31,6.27,0.02
304.04,3.76,0.05
1199.19,23.93,0.48
60.37,126.4,264.66
227.25,107.56,50.9
837.7,77.31,7.13
0.7,3.84,20.94
991.92,2.52,0.01
2.9,104.36,3760.97
173.17,10.29,0.61
305.2,7.19,0.17
1.24,171.12,23650.56
1355.48,2.08,0.0
1087.66,44.89,1.85
113.95,103.54,94.09
1.81,1.5,1.24
54.69,104.2,198.51
8.68,8.16,7.66
1126.26,285.73,72.49
14.58,6.82,3.19
157.72,42.49,11.44
98.52,115.27,134.87
4.73,71.39,1076.71
42.45,27.05,17.24
14.99,110.81,819.31
11.18,59.0,311.41
647.4,32.15,1.6
1.59,9.89,61.41
15.04,125.94,1054.56
0.53,89.75,15234.19
4.39,6.33,9.12
86.8,2.56,0.08
1.03,46.34,2077.79
4.74,81.4,1397.99
740.64,9.65,0.13
155.24,204.49,269.37
0.9,473.83,250659.11
1877.51,90.23,4.34
1268.9,9.57,0.07
1.62,5.77,20.53
1046.15,15.83,0.24
47.85,15.39,4.95
1113.41,31.29,0.88
1534.43,39.03,0.99
157.48,97.49,60.35
5.6,12.83,29.38
1070.64,94.5,8.34
58.17,94.93,154.92
8.5,20.84,51.11
22.7,3.35,0.5
14.53,12.1,10.07
1169.34,9.92,0.08
448.81,1.81,0.01
0.65,1.56,3.76
0.54,1.69,5.25
0.89,1.81,3.68
79.0,132.22,221.29
429.31,81.95,15.64
35.8,404.93,4580.42
42.18,5.25,0.65
3.67,7.2,14.13
22.56,22.07,21.59
4.21,36.69,319.87
4.85,84.96,1487.49
12.82,40.41,127.38
0.74,24.55,812.27
1376.54,95.91,6.68
982.2,27.77,0.78
369.12,110.1,32.84
55.82,311.03,1733.1
424.17,7.7,0.14
1613.88,3.57,0.01
5.25,148.9,4220.01
10.26,5.58,3.04
211.37,3.76,0.07
103.42,165.4,264.53
467.75,10.15,0.22
8.89,64.99,475.25
6.57,312.87,14898.49
64.22,7.93,0.98
1.68,2.36,3.32
0.69,259.94,97327.01
3.79,1.54,0.62
1.86,2.0,2.15
0.53,4.57,39.57
317.25,41.15,5.34
45.25,50.79,57.01
128.4,451.23,1585.72
1.93,8.19,34.71
4.2,81.47,1579.16
0.82,5.8,40.81
1958.53,54.6,1.52
1.18,189.67,30598.73
1.06,198.75,37336.91
81.52,112.67,155.73
7.84,37.17,176.19
787.2,1.86,0.0
494.48,149.05,44.93
670.05,13.63,0.28
222.31,55.16,13.69
1.49,12.53,105.25
0.85,2.36,6.56
0.85,13.68,219.11
386.39,9.01,0.21
116.4,112.88,109.47
1708.18,53.12,1.65
103.97,13.48,1.75
3.95,63.68,1026.13
1.05,31.44,941.15
10.37,1.63,0.26
2.62,2.72,2.82
91.73,15.56,2.64
1.11,2.85,7.33
303.11,4.18,0.06
161.43,8.87,0.49
224.58,2.11,0.02
1502.02,15.0,0.15
110.24,54.43,26.88
346.24,53.31,8.21
1.01,77.43,5909.38
1247.5,379.66,115.54
3.06,143.57,6727.45
29.85,7.21,1.74
1401.14,66.5,3.16
2.21,1.88,1.59
0.67,2.1,6.59
5.88,12.18,25.27
1.83,1.7,1.59
127.43,1.67,0.02
5.03,38.89,300.59
0.84,126.96,19143.77
823.56,55.23,3.7
0.75,36.12,1730.97
4.74,329.04,22824.03
3.67,285.52,22219.44
0.61,6.52,70.06
1.97,41.26,864.82
430.63,158.2,58.12
0.68,52.05,3968.99
0.61,26.2,1132.25
96.11,1.57,0.03
1.05,483.76,223869.65
10.9,6.02,3.32
0.51,4.92,47.49
10.1,7.92,6.21
6.99,3.72,1.98
80.53,86.26,92.39
31.39,19.61,12.26
139.01,403.54,1171.45
1174.84,450.81,172.98
365.79,6.18,0.1
1152.59,2.11,0.0
0.78,27.01,930.54
1845.99,4.0,0.01
7.23,17.35,41.66
4.96,67.93,929.82
14.21,7.19,3.64
331.49,16.53,0.82
1368.87,327.67,78.44
49.59,47.76,46.0
1.8,243.3,32899.94
2.95,2.13,1.53
14.43,45.71,144.86
10.39,360.68,12525.48
3.61,336.7,31423.96
577.49,137.23,32.61
5.1,128.02,3210.6
68.25,17.32,4.4
26.63,119.46,535.76
1060.06,187.68,33.23
92.13,7.2,0.56
7.86,42.12,225.85
99.9,1.52,0.02
7.04,1.63,0.38
1.06,22.59,480.53
27.97,37.86,51.26
627.27,205.12,67.08
941.66,315.47,105.69
45.45,18.8,7.78
165.46,103.59,64.85
79.2,66.6,56.0
416.49,110.7,29.42
1.18,3.61,11.08
13.96,3.3,0.78
4.08,57.08,798.68
0.53,1.87,6.63
487.97,9.08,0.17
1.52,104.53,7180.82
7.31,362.82,18013.43
663.0,3.86,0.02
198.24,7.77,0.3
55.45,2.06,0.08
6.55,2.62,1.05
35.91,441.7,5433.28
0.8,36.68,1687.75
208.32,44.17,9.37
3.58,6.04,10.18
26.61,3.14,0.37
1.09,69.67,4434.82
181.66,29.0,4.63
842.96,104.56,12.97
21.94,2.36,0.25
1.0,98.4,9711.11
1268.2,3.33,0.01
20.38,57.62,162.88
0.97,4.48,20.65
2.39,12.9,69.74
1.35,156.12,18040.96
2.57,14.63,83.21
1.82,13.91,106.25
1054.95,6.4,0.04
2.83,3.37,4.01
19.54,11.38,6.62
212.83,55.85,14.66
137.24,2.88,0.06
1393.86,35.13,0.89
1508.92,11.8,0.09
56.84,3.28,0.19
256.34,182.13,129.41
12.29,22.54,41.33
17.59,5.65,1.82
1.19,17.85,268.13
133.25,163.9,201.6
4.72,4.97,5.25
0.97,2.45,6.18
1.13,3.22,9.19
199.99,16.59,1.38
3.34,170.16,8672.0
296.83,33.54,3.79
916.53,199.31,43.34
8.45,3.98,1.88
361.88,2.97,0.02
17.51,93.31,497.15
302.37,3.3,0.04
6.37,20.74,67.6
1133.03,130.53,15.04
1798.65,37.26,0.77
12.3,28.07,64.04
2.6,7.31,20.54
147.09,35.32,8.48
63.26,79.66,100.3
1863.36,1.73,0.0
419.16,26.9,1.73
509.41,390.75,299.74
206.92,199.53,192.41
9.17,375.03,15332.12
1174.71,484.4,199.74
23.79,3.28,0.45
13.73,10.99,8.8
2.5,15.91,101.04
6.22,122.08,2395.88
0.51,12.05,285.11
119.12,299.21,751.54
75.84,127.69,215.0
14.15,483.72,16537.52
1522.47,168.1,18.56
156.88,79.5,40.28
3.74,48.09,617.93
11.56,5.77,2.88
36.05,175.5,854.36
46.06,1.68,0.06
4.92,15.35,47.92
3.96,23.94,144.78
5.99,223.88,8366.03
1475.79,4.37,0.01
9.86,275.07,7671.58
11.13,312.83,8789.55
196.49,1.84,0.02
1.93,1.69,1.47
103.68,328.56,1041.26
125.43,402.8,1293.52
0.85,279.76,91667.0
2.42,3.17,4.16
23.95,8.07,2.72
510.73,30.94,1.87
217.23,4.51,0.09
700.15,244.43,85.33
581.23,61.09,6.42
34.79,103.93,310.47
87.19,76.63,67.35
1036.92,4.81,0.02
233.54,9.99,0.43
9.73,1.75,0.32
9.14,212.09,4920.72
10.46,64.9,402.68
30.39,12.75,5.35
10.11,2.59,0.66
2.37,18.65,146.94
69.49,2.33,0.08
675.95,165.21,40.38
29.73,32.39,35.28
3.08,4.38,6.25
424.25,102.26,24.65
263.76,150.66,86.06
166.42,3.15,0.06
134.7,21.02,3.28
328.68,3.15,0.03
489.36,239.19,116.92
859.71,297.96,103.27
78.7,11.89,1.8
13.08,217.33,3610.23
1.05,9.89,92.79
200.06,248.97,309.85
1.61,3.85,9.18
672.09,99.14,14.62
14.49,15.32,16.19
715.92,38.82,2.1
36.86,445.32,5380.12
21.5,48.34,108.7
10.2,16.84,27.81
0.83,60.54,4406.97
0.55,176.53,56644.55
33.99,3.87,0.44
880.67,29.68,1.0
64.59,3.42,0.18
638.71,13.81,0.3
1995.93,11.24,0.06
2.2,4.89,10.85
118.8,1.52,0.02
15.87,278.47,4885.01
2.83,46.1,752.28
3.69,295.62,23700.51
3.8,90.27,2142.27
212.43,57.81,15.73
9.5,26.29,72.77
4.17,108.24,2809.78
776.7,112.36,16.25
0.66,153.58,35482.53
223.21,159.67,114.22
1441.96,8.9,0.05
89.66,101.38,114.65
47.15,7.29,1.13
0.83,99.43,11877.49
32.41,420.3,5450.89
10.02,362.2,13095.76
317.49,425.54,570.35
419.79,35.08,2.93
2.01,481.33,115400.44
38.03,48.36,61.5
625.92,1.94,0.01
88.83,417.3,1960.44
27.01,6.11,1.38
858.7,98.54,11.31
1514.67,19.95,0.26
3.52,3.5,3.47
2.28,16.87,124.97
651.84,62.51,6.0
3.75,212.92,12087.76
566.16,143.66,36.45
6.08,9.35,14.37
0.59,8.87,134.24
16.55,423.78,10850.83
0.7,54.23,4208.43
2.81,13.4,63.94
26.65,10.53,4.16
0.69,25.04,911.2
0.66,405.15,249247.1
1.81,197.87,21624.02
23.22,7.48,2.41
1612.27,8.83,0.05
1.09,34.96,1126.71
86.96,301.23,1043.46
30.86,16.65,8.98
0.82,199.49,48329.25
0.66,72.29,7873.25
3.15,71.15,1608.17
146.38,6.1,0.25
1464.03,78.21,4.18
50.35,383.43,2919.98
0.73,363.54,180824.13
4.25,417.96,41120.03
1239.57,22.29,0.4
0.55,1.72,5.31
73.84,464.97,2927.73
2.21,52.55,1252.18
0.87,384.55,170781.22
4.13,246.9,14776.93
1185.93,52.53,2.33
277.25,38.11,5.24
2.07,2.87,3.99
0.86,4.93,28.2
29.88,299.89,3010.33
0.77,140.42,25480.7
14.27,2.47,0.43
381.53,19.22,0.97
31.8,39.39,48.79
850.05,329.63,127.83
354.1,25.42,1.83
50.01,54.43,59.24
351.6,126.27,45.35
1.1,5.33,25.88
2.66,71.78,1939.56
166.7,170.4,174.18
0.52,5.38,55.17
0.52,5.08,49.68
11.72,39.3,131.79
664.1,112.51,19.06
1706.28,86.48,4.38
109.58,8.48,0.66
1324.1,27.0,0.55
565.38,44.61,3.52
2.66,22.84,196.21
14.26,2.85,0.57
88.27,17.08,3.3
1.75,28.87,475.2
6.71,8.65,11.14
265.17,17.67,1.18
8.72,284.5,9283.62
1082.02,135.83,17.05
14.6,78.3,420.05
3.09,34.4,382.49
2.86,2.96,3.06
149.4,2.42,0.04
10.59,405.2,15497.48
3.58,1.57,0.69
157.88,6.24,0.25
16.48,56.59,194.38
557.55,28.01,1.41
47.47,71.12,106.54
1587.85,3.84,0.01
11.16,34.1,104.19
5.19,17.54,59.28
104.88,12.09,1.39
178.05,210.23,248.23
0.58,21.98,839.46
128.86,21.3,3.52
2.24,36.51,593.88
1421.84,72.39,3.69
59.4,16.59,4.64
1.43,33.39,780.22
0.77,492.44,313215.92
736.81,32.81,1.46
579.39,55.79,5.37
18.31,4.52,1.12
1.03,11.67,131.79
12.7,183.92,2663.95
274.44,3.01,0.03
120.7,1.52,0.02
653.65,41.63,2.65
253.99,9.02,0.32
7.73,7.59,7.46
8.47,2.67,0.84
107.7,176.07,287.82
6.55,243.57,9057.46
667.32,176.58,46.72
7.57,47.75,301.04
28.85,39.31,53.56
0.72,401.02,224731.67
1.33,20.06,302.14
1.49,2.78,5.18
8.68,4.84,2.7
1.32,109.2,9065.5
22.16,128.83,749.13
4.66,23.7,120.51
4.79,13.46,37.81
20.12,3.52,0.61
595.05,3.19,0.02
277.18,321.65,373.24
762.44,26.41,0.91
1843.49,152.92,12.68
0.55,6.14,68.66
156.11,169.82,184.74
1.35,116.26,10006.31
1184.31,6.67,0.04
3.28,98.27,2942.71
9.11,4.9,2.63
1681.04,24.45,0.36
664.74,26.41,1.05
0.74,8.44,96.37
0.74,177.6,42765.3
445.13,6.08,0.08
0.9,432.34,208547.72
584.75,5.21,0.05
1070.31,89.72,7.52
0.61,29.79,1456.7
3.1,253.48,20722.02
0.61,7.69,97.53
0.91,2.88,9.06
41.95,1.98,0.09
213.34,1.85,0.02
26.67,205.71,1586.53
12.28,84.78,585.35
2.78,3.1,3.46
3.56,298.85,25106.2
62.63,59.89,57.27
604.62,3.8,0.02
14.33,12.58,11.05
1212.17,8.53,0.06
0.77,6.86,61.01
485.11,80.25,13.28
8.3,197.9,4720.4
673.48,9.31,0.13
1025.09,44.47,1.93
166.68,7.85,0.37
9.5,14.65,22.57
22.12,63.16,180.33
48.58,2.27,0.11
23.09,5.87,1.49
353.8,258.15,188.35
300.65,123.04,50.35
0.56,25.67,1186.9
1.76,374.01,79523.96
10.2,3.36,1.11
132.16,65.49,32.45
3.36,1.87,1.04
7.27,400.17,22019.95
23.09,177.14,1359.06
66.46,1.6,0.04
885.72,8.12,0.07
395.64,111.39,31.36
9.84,241.0,5904.03
291.94,10.23,0.36
499.18,449.52,404.8
38.06,266.3,1863.28
5.83,21.42,78.75
1247.3,4.36,0.02
1462.38,262.56,47.14
3.22,18.62,107.61
336.38,319.8,304.05
0.71,175.76,43700.3
0.51,2.04,8.16
9.23,2.32,0.58
23.18,82.16,291.22
46.44,11.42,2.81
11.52,8.67,6.52
1.46,2.39,3.92
8.73,138.26,2190.25
456.28,5.47,0.07
8.1,7.82,7.55
68.0,3.6,0.19
141.75,196.75,273.09
217.4,257.74,305.57
28.62,6.06,1.28
1.42,29.43,610.83
876.3,29.44,0.99
4.33,382.83,33836.53
8.32,464.27,25920.08
306.31,1.52,0.01
281.34,3.33,0.04
846.85,265.59,83.29
0.66,138.49,28995.59
706.33,24.33,0.84
356.96,5.42,0.08
38.94,13.43,4.63
1.88,70.65,2659.44
45.93,17.1,6.37
2.5,2.89,3.33
1495.56,255.2,43.55
178.71,6.53,0.24
70.25,9.94,1.41
425.36,201.22,95.19
41.39,160.3,620.84
0.82,1.73,3.65
4.29,4.37,4.45
1718.18,31.14,0.56
580.3,56.01,5.41
1095.68,18.22,0.3
1.13,11.98,127.59
3.91,22.49,129.29
0.84,5.03,29.94
457.57,130.18,37.03
2.12,59.44,1670.36
15.0,125.28,1046.49
4.67,50.81,552.33
1122.47,1.63,0.0
77.69,77.84,78.0
379.17,6.81,0.12
73.78,44.05,26.3
80.43,11.81,1.73
11.97,4.11,1.41
3.63,126.68,4421.17
8.99,2.54,0.72
5.77,6.87,8.17
154.46,177.51,204.0
16.64,32.83,64.78
47.94,476.42,4734.6
299.19,23.55,1.85
4.56,315.11,21767.39
16.79,47.8,136.1
37.17,4.94,0.66
0.78,107.64,14829.79
1.77,100.54,5721.51
0.85,16.68,328.65
256.24,60.21,14.15
6.02,2.09,0.73
16.64,28.96,50.39
132.05,17.25,2.25
1514.44,18.84,0.23
417.26,94.93,21.6
0.81,238.54,70459.25
6.31,6.9,7.55
0.75,4.7,29.43
0.83,243.4,71044.3
1.44,10.25,72.97
7.17,4.85,3.28
3.41,8.3,20.18
9.28,256.29,7078.55
456.98,113.72,28.3
373.49,25.76,1.78
9.17,13.66,20.34
119.04,7.58,0.48
11.0,366.53,12215.07
12.28,10.5,8.97
135.82,71.66,37.81
12.11,29.46,71.63
47.58,1.94,0.08
1.3,418.84,134919.09
43.63,76.51,134.16
235.34,6.9,0.2
792.39,44.02,2.45
1.7,19.22,217.84
15.08,162.19,1744.61
28.2,162.58,937.29
908.15,481.39,255.18
4.23,6.18,9.03
1.98,2.36,2.83
1.62,226.41,31706.62
1.81,20.9,241.8
677.72,6.38,0.06
85.42,47.71,26.64
16.39,75.32,346.22
662.23,181.92,49.97
5.92,221.32,8271.27
1099.46,61.83,3.48
270.66,98.79,36.06
0.59,11.0,204.21
23.2,40.24,69.82
541.49,393.73,286.29
13.36,89.65,601.47
1797.72,5.33,0.02
560.3,216.02,83.29
257.93,430.2,717.54
1.54,15.63,158.84
1.22,2.33,4.43
101.99,128.27,161.32
120.63,408.71,1384.77
1.7,11.87,82.85
595.67,15.33,0.39
701.78,138.17,27.2
15.83,117.83,876.96
77.28,399.6,2066.28
34.57,3.99,0.46
0.67,81.85,9968.78
1.06,91.5,7909.75
321.94,86.2,23.08
28.7,7.2,1.81
79.34,1.51,0.03
80.64,335.93,1399.37
11.65,14.74,18.65
0.64,47.75,3572.54
341.56,16.29,0.78
24.34,16.24,10.84
1.58,11.25,80.02
0.6,14.73,364.54
0.58,129.64,29067.96
0.66,16.41,408.56
1.81,144.01,11466.11
3.41,185.99,10145.55
3.88,10.98,31.03
94.61,45.98,22.34
3.71,3.5,3.31
133.85,2.27,0.04
462.08,61.97,8.31
12.16,10.24,8.62
193.43,106.96,59.14
1.19,3.68,11.45
7.59,5.61,4.14
143.84,15.1,1.59
1135.84,298.04,78.2
82.46,3.03,0.11
10.22,106.01,1099.33
6.74,394.75,23106.77
12.86,2.11,0.35
112.4,207.71,383.87
7.53,130.12,2248.51
24.66,34.06,47.04
270.98,54.4,10.92
3.59,103.8,2998.72
190.49,2.98,0.05
276.56,81.22,23.85
645.62,10.16,0.16
0.61,2.78,12.68
